County,2010pop,2011estimate,2012estimate
Accomack,33164,33347,33341
Albemarle,98970,100837,102251
Alleghany,16250,16325,16230
Amelia,12690,12731,12759
Amherst,32353,32114,32384
Appomattox,14973,15004,15128
Arlington,207627,216118,221045
Augusta,73750,73765,73658
Bath,4731,4676,4652
Bedford,68676,69414,69590
Bland,6824,6794,6738
Botetourt,33148,33047,33154
Brunswick,17434,17133,17010
Buchanan,24098,23869,23859
Buckingham,17146,17173,17088
Campbell,54842,55220,55163
Caroline,28545,28685,28972
Carroll,30042,30006,29851
Charles City,7256,7258,7157
Charlotte,12586,12515,12404
Chesterfield,316236,320475,323856
Clarke,14034,14232,14323
Craig,5190,5241,5213
Culpeper,46689,47408,47911
Cumberland,10052,10002,9849
Dickenson,15903,15784,15690
Dinwiddie,28001,28054,27994
Essex,11151,11228,11233
Fairfax,1081726,1104338,1118602
Fauquier,65203,66086,66542
Floyd,15279,15374,15390
Fluvanna,25691,25979,25967
Franklin,56159,56411,56411
Frederick,78305,79603,80317
Giles,17286,17094,16928
Gloucester,36858,36881,36886
Goochland,21717,21456,21347
Grayson,15533,15380,15183
Greene,18403,18669,18771
Greensville,12243,12072,11851
Halifax,36241,36057,35849
Hanover,99863,100176,100668
Henrico,306935,310481,314932
Henry,54151,53303,52969
Highland,2321,2277,2245
Isle of Wight,35270,35282,35399
James City,67009,67857,68967
King and Queen,6945,7025,7046
King George,23584,24220,24500
King William,15935,15975,15981
Lancaster,11391,11363,11236
Lee,25587,25610,25474
Loudoun,312311,326319,336898
Louisa,33153,33410,33430
Lunenburg,12914,12873,12588
Madison,13308,13171,13200
Mathews,8978,8943,8884
Mecklenburg,32727,32583,31749
Middlesex,10959,10824,10822
Montgomery,94392,94626,95194
Nelson,15020,15042,14827
New Kent,18429,18784,19169
Northampton,12389,12404,12226
Northumberland,12330,12391,12346
Nottoway,15853,15924,15830
Orange,33481,33922,34246
Page,24042,23981,23895
Patrick,18490,18395,18451
Pittsylvania,63506,63264,62807
Powhatan,28046,28100,28123
Prince Edward,23368,22279,23238
Prince George,35725,36650,36941
Prince William,402002,419472,430289
Pulaski,34872,34765,34736
Rappahannock,7373,7487,7456
Richmond,9254,9191,9059
Roanoke,92376,92897,92901
Rockbridge,22307,22488,22394
Rockingham,76314,77098,77391
Russell,28897,28713,28445
Scott,23177,22963,22781
Shenandoah,41993,42270,42583
Smyth,32208,31957,31718
Southampton,18570,18566,18409
Spotsylvania,122397,124477,125684
Stafford,128961,132246,134352
Surry,7058,6946,6844
Sussex,12087,12123,11972
Tazewell,45078,44696,44268
Warren,37575,37730,38070
Washington,54876,54188,55190
Westmoreland,17454,17622,17524
Wise,41452,41369,40918
Wythe,29235,29202,29251
York,65464,66056,66146
