Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/6/08,1586,2373,2884,2989,2524,1093,1112,2234,1397,1539,2384,1590,1661,1480,874,1241,1499,4338,844,2612,1046,2020,1708,1726,1008,885,1014,3351,862,2237,3355,2085,1510,895,2089,3433,2023,2592,980,1374,986,1602,4546,788,679,2391,2489,2353,1528,647
1/13/08,1481,2313,2448,3478,2575,1176,1088,2206,1270,1422,2691,1802,1620,1580,936,1126,1387,4910,863,2744,995,2396,1537,2098,1204,941,1074,3239,893,2213,3743,2041,1548,898,2282,3541,2255,2555,998,1267,1067,1911,4965,979,695,2458,2379,2493,1389,699
1/20/08,2555,2200,3947,6689,3246,1622,1103,2317,1565,2053,2412,2093,2049,2107,1179,1447,2038,7385,906,3390,1266,3431,1922,3535,2016,1234,1245,3887,890,2638,4499,2491,2256,1005,3032,5611,2218,3230,1004,2273,1413,2983,7135,1184,723,3115,3148,2786,1880,798
1/27/08,4725,2164,4808,12494,3774,1984,1611,2561,1815,3212,2222,2374,2726,3373,2079,2476,3616,9327,997,4597,1848,4254,2476,8337,3178,1509,2348,3977,1143,3842,5970,3471,3819,1163,4055,8561,2723,4381,1259,4295,1856,5128,9531,1643,788,4593,3791,4186,2488,1020
2/3/08,7903,2206,6565,14700,4091,2382,2232,2886,2364,4764,2126,3316,3628,5400,2912,3697,6318,11329,1327,6292,2900,4624,3636,11343,4319,2119,3951,5743,1705,5150,6550,4439,6428,2039,4870,11176,3738,5638,2773,6969,3297,7138,9758,2152,1046,5885,4135,7125,3421,1461
2/10/08,9765,2358,7396,14278,5275,3183,3044,4128,2517,6308,2496,4778,4349,6465,3671,4535,7383,9520,1797,6172,3638,3895,4636,11065,4313,2783,5849,5898,2975,5339,7344,4845,8127,3691,4411,14119,4361,5498,3731,7523,5147,8308,8440,2644,1512,5786,4546,7166,4413,1878
2/17/08,10185,3079,7398,13182,5426,3774,3829,4755,3161,6944,3104,5735,5161,7046,4527,5324,7970,7896,3592,6034,4517,4173,6442,8102,4292,3328,6729,6161,4815,5924,7520,5628,9441,6249,4285,14807,5662,5887,5201,8604,6515,9413,7945,3603,2376,6116,5395,7673,5802,2658
2/24/08,7303,2956,6043,11458,4168,3052,3559,5593,2904,5537,3417,6051,5046,6446,4366,4581,6728,7105,4452,5259,3679,3361,6909,5111,3347,2992,6195,4935,4034,5138,5595,5064,8234,7651,3644,13139,4892,5445,4568,7738,7080,7147,6356,2852,3037,5369,4827,7486,6887,3106
3/2/08,4817,2856,4163,7157,3337,2256,3075,5332,2764,3878,3077,4774,4349,4448,3858,3589,5282,4323,5225,4333,2877,2843,6639,3581,2593,2393,4330,3473,2780,4068,4679,3980,5305,6881,2846,8498,3603,4586,3452,5080,6039,4775,4819,2248,3414,4291,3661,5728,6142,2893
3/9/08,3265,2804,3093,5194,2715,1701,2319,4878,2372,2609,2638,4266,3722,3064,3401,2307,3179,3876,3958,3367,1928,2363,5970,2858,2082,2063,2835,2777,2761,2995,3785,3425,3486,5614,2284,5787,3123,3740,2263,3140,4928,3275,4100,1498,3072,3271,3120,4709,4833,2809
3/16/08,2244,2521,2990,4079,2133,1286,1880,4032,1889,1902,2353,3336,3010,2486,2803,1385,2534,3231,2765,2831,1991,2128,4574,2112,1470,1842,1981,2325,2176,2291,3365,2695,2338,4509,1970,3945,2372,3210,1866,2306,4413,2215,3085,1063,2742,2716,2546,3955,3723,2585
