zipcode,latitude,longitude
00210,43.00589,-71.0132
00211,43.00589,-71.0132
00212,43.00589,-71.0132
00213,43.00589,-71.0132
00214,43.00589,-71.0132
00215,43.00589,-71.0132
00501,40.92232,-72.637
00544,40.92232,-72.637
00601,18.16527,-66.7225
00602,18.3931,-67.1809
00603,18.45591,-67.1457
00604,18.49352,-67.1358
00605,18.46516,-67.1414
00606,18.17294,-66.9441
00610,18.28868,-67.1396
00611,18.27953,-66.8021
00612,18.45067,-66.6982
00613,18.45809,-66.7327
00614,18.42967,-66.6745
00616,18.44479,-66.6406
00617,18.44709,-66.5442
00622,17.99853,-67.1873
00623,18.0622,-67.1495
00624,18.02353,-66.7261
00627,18.47789,-66.8547
00631,18.26918,-66.8649
00636,18.11328,-67.0397
00637,18.08732,-66.9349
00638,18.33616,-66.472
00641,18.25002,-66.6989
00646,18.43606,-66.2819
00647,17.96959,-66.9397
00650,18.36012,-66.5623
00652,18.45725,-66.6033
00653,17.97246,-66.8986
00656,18.02328,-66.7869
00659,18.48139,-66.8086
00660,18.14548,-67.1353
00662,18.48028,-67.0281
00664,18.2176,-66.5983
00667,18.01509,-67.0559
00669,18.29595,-66.8819
00670,18.25213,-66.9909
00674,18.44553,-66.4902
00676,18.38372,-67.0807
00677,18.33578,-67.2525
00678,18.45303,-66.9336
00680,18.21902,-67.508
00681,18.21902,-67.508
00682,18.21902,-67.508
00683,18.11328,-67.0397
00685,18.3236,-66.9722
00687,18.31697,-66.4152
00688,18.42967,-66.6745
00690,18.47619,-67.1395
00692,18.43581,-66.3385
00693,18.4431,-66.3983
00694,18.4431,-66.3983
00698,18.06104,-66.8611
00703,18.25039,-66.1284
00704,17.99229,-66.1392
00705,18.12809,-66.2687
00707,18.00701,-65.8987
00714,17.96751,-66.0413
00715,18.01185,-66.5637
00716,18.00199,-66.6074
00717,18.00199,-66.6074
00718,18.22139,-65.7783
00719,18.29801,-66.2297
00720,18.22686,-66.394
00721,18.36416,-65.7782
00723,18.00999,-66.0105
00725,18.21296,-66.058
00726,18.21296,-66.058
00728,18.00199,-66.6074
00729,18.33309,-65.8838
00730,18.00199,-66.6074
00731,18.03831,-66.6263
00732,18.02178,-66.6137
00733,18.01933,-66.6191
